"","Order","Family","Genus","Species","genspec","ActivityCycle","Mass.g","Forearm.mm","BodyLen.mm","AgeatFirstBirth","BasalMetRate.mL02hr","BasalMetRateMass.g","DietBreadth","DispersalAge","GestationLen","HabitatBreadth","MaxLongevity.m","SexualMaturityAge.d","TeatNumber","Terrestriality","TrophicLevel","References","Mass.g.EXT","Area.km2","MaxLat.dd","MinLat.dd","MRLat.dd","MaxLong.dd","MinLong.dd","MRLong.dd","PrecipMean.mm","TempMean.C","AETMean.mm","PETMean.mm"
"1","Cetacea","Ziphiidae","Mesoplodon","ginkgodens","Mesoplodon_ginkgodens",NA,1500000,NA,4879.99,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"1217;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Cetacea","Ziphiidae","Mesoplodon","bowdoini","Mesoplodon_bowdoini",NA,2600000,NA,4265.46,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"165;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Cetacea","Balaenopteridae","Balaenoptera","borealis","Balaenoptera_borealis",NA,22100000,NA,16493.9,NA,NA,NA,2,NA,334.58,1,888,2854,NA,NA,3,"511;543;899;1004;1217;1297;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Cetacea","Delphinidae","Peponocephala","electra","Peponocephala_electra",NA,206000,NA,NA,NA,NA,NA,NA,NA,364.99,1,564,3215.83,NA,NA,NA,"543;1297;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Cetacea","Balaenopteridae","Megaptera","novaeangliae","Megaptera_novaeangliae",NA,3e+07,NA,12875.77,NA,NA,NA,2,NA,349.79,1,1140,1172.38,NA,NA,3,"24;68;159;162;163;179;490;491;505;543;899;1004;1297;1577;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Cetacea","Ziphiidae","Mesoplodon","stejnegeri","Mesoplodon_stejnegeri",NA,4800000,NA,6089.99,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"1217;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cetacea","Delphinidae","Stenella","coeruleoalba","Stenella_coeruleoalba",2,142000,NA,2304.34,NA,NA,NA,2,NA,386.05,1,600,3331.98,NA,NA,3,"5;28;30;56;104;145;172;528;529;543;890;1217;1297;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Cetacea","Delphinidae","Lissodelphis","borealis","Lissodelphis_borealis",NA,113000,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Cetacea","Delphinidae","Lagenorhynchus","acutus","Lagenorhynchus_acutus",NA,187000,NA,2286,NA,NA,NA,2,NA,319.37,1,324,2267.38,NA,NA,3,"16;543;1004;1297;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Cetacea","Delphinidae","Lagenorhynchus","obliquidens","Lagenorhynchus_obliquidens",NA,110000,NA,2206.62,NA,NA,NA,2,NA,319.01,1,300,NA,NA,NA,3,"543;1004;1217;1297;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Cetacea","Delphinidae","Cephalorhynchus","heavisidii","Cephalorhynchus_heavisidii",NA,40000,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"1297;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Cetacea","Balaenopteridae","Balaenoptera","acutorostrata","Balaenoptera_acutorostrata",NA,5590000,NA,5532.61,NA,NA,NA,2,NA,304.16,1,600,2332.83,NA,NA,3,"29;101;122;511;543;1004;1217;1297;2151;2655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
