Order,Family,Genus,Species,genspec,ActivityCycle,Mass.g,Forearm.mm,BodyLen.mm,AgeatFirstBirth,BasalMetRate.mL02hr,BasalMetRateMass.g,DietBreadth,DispersalAge,GestationLen,HabitatBreadth,MaxLongevity.m,SexualMaturityAge.d,TeatNumber,Terrestriality,TrophicLevel,References,Mass.g.EXT,Area.km2,MaxLat.dd,MinLat.dd,MRLat.dd,MaxLong.dd,MinLong.dd,MRLong.dd,PrecipMean.mm,TempMean.C,AETMean.mm,PETMean.mm
Rodentia,Muridae,Abditomys,latidens,Abditomys_latidens,NA,268,NA,223.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2152,NA,357,16.94,16.74,16.84,120.97,120.78,120.88,316,180,1443,1557
Rodentia,Muridae,Abrawayaomys,ruschii,Abrawayaomys_ruschii,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,126137,-15.09,-19.84,-17.47,-40.52,-43.56,-42.04,107.06,209.1,1084.47,1402.39
Rodentia,Abrocomidae,Abrocoma,bennettii,Abrocoma_bennettii,1,251,NA,NA,NA,NA,NA,NA,NA,NA,3,27.6,NA,NA,2,NA,543;890;1297;1492;2655,NA,54616,-27.71,-35.58,-31.64,-69.4,-71.7,-70.55,20.44,17.66,213.09,1073.78
Rodentia,Abrocomidae,Abrocoma,boliviensis,Abrocoma_boliviensis,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,5774,-17.44,-18.05,-17.75,-63.49,-64.51,-64,82.63,175.55,1171.61,1487.33
Rodentia,Abrocomidae,Abrocoma,cinerea,Abrocoma_cinerea,NA,194,NA,NA,NA,NA,NA,NA,NA,109.64,3,NA,NA,NA,2,NA,890;1297;1627;2655,NA,381391,-14.43,-24.35,-19.39,-64.27,-70.6,-67.43,48.46,35.22,515.1,1257.35
Chiroptera,Pteropodidae,Acerodon,celebensis,Acerodon_celebensis,NA,382,133.49,201.55,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,978;1297;1658;2151;2655,NA,173613,3.74,-6.49,-1.37,126.34,118.75,122.55,229.41,215.47,1812.6,1909.15
Chiroptera,Pteropodidae,Acerodon,humilis,Acerodon_humilis,NA,NA,139.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,79;1658;2151,352,87,4.04,3.81,3.93,126.73,126.6,126.67,NA,NA,NA,NA
Chiroptera,Pteropodidae,Acerodon,jubatus,Acerodon_jubatus,NA,1090,191.44,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,1,79;1015;1309;1439;1658;2017;2151;2655;2885,NA,261661,18.65,5.55,12.1,126.6,119.74,123.17,202.52,242.33,1471.66,1734.15
Chiroptera,Pteropodidae,Acerodon,leucotis,Acerodon_leucotis,NA,NA,139.53,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,679;1658;2151,349,12832,12.33,7.8,10.06,120.34,116.93,118.63,224,249.78,NA,NA
Chiroptera,Pteropodidae,Acerodon,lucifer,Acerodon_lucifer,NA,NA,164.74,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,79;679;1658;2151,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
