"","x"
"otu292225","Balaenoptera edeni"
"otu292226","Tursiops truncatus"
"otu292228","Feresa attenuata"
"otu292229","Steno bredanensis"
"otu292230","Balaenoptera omurai"
"otu292231","Globicephala macrorhynchus"
"otu292232","Phocoena dioptrica"
"otu292233","Balaenoptera acutorostrata"
"otu292234","Inia geoffrensis"
"otu292235","Lagenodelphis hosei"
"otu292236","Mesoplodon stejnegeri"
"otu292237","Megaptera novaeangliae"
"otu292238","Cephalorhynchus heavisidii"
"otu292239","Balaenoptera brydei"
"otu292240","Lagenorhynchus albirostris"
"otu292241","Sotalia guianensis"
"otu292242","Ziphius cavirostris"
"otu292243","Cephalorhynchus commersonii"
"otu292244","Mesoplodon mirus"
"otu292245","Berardius bairdii"
"otu292246","Mesoplodon grayi"
"otu292248","Phocoena phocoena"
"otu292249","Mesoplodon ginkgodens"
"otu292250","Delphinus tropicalis"
"otu292251","Stenella longirostris"
"otu292252","Mesoplodon peruvianus"
"otu292253","Pontoporia blainvillei"
"otu292254","Lissodelphis peronii"
"otu292255","Balaenoptera physalus"
"otu292256","Phocoena spinipinnis"
"otu292257","Stenella frontalis"
"otu292258","Kogia breviceps"
"otu292259","Mesoplodon perrini"
"otu292260","Stenella clymene"
"otu292261","Tasmacetus shepherdi"
"otu292262","Delphinus delphis"
"otu292263","Pseudorca crassidens"
"otu292264","Mesoplodon carlhubbsi"
"otu292265","Mesoplodon europaeus"
"otu292266","Tursiops aduncus"
"otu292267","Hyperoodon ampullatus"
"otu292268","Mesoplodon densirostris"
"otu292269","Mesoplodon traversii"
"otu292270","Eschrichtius robustus"
"otu292271","Sousa chinensis"
"otu292272","Mesoplodon layardii"
"otu292273","Phocoena sinus"
"otu292274","Monodon monoceros"
"otu292275","Lissodelphis borealis"
"otu292276","Mesoplodon bidens"
"otu292277","Mesoplodon bowdoini"
"otu292278","Caperea marginata"
"otu292279","Peponocephala electra"
"otu292280","Orcaella brevirostris"
"otu292281","Neophocaena phocaenoides"
"otu292282","Eubalaena japonica"
"otu292283","Balaena mysticetus"
"otu292284","Globicephala melas"
"otu292285","Platanista gangetica"
"otu292286","Eubalaena glacialis"
"otu292287","Berardius arnuxii"
"otu292288","Delphinapterus leucas"
"otu292289","Lipotes vexillifer"
"otu292290","Indopacetus pacificus"
"otu292291","Phocoenoides dalli"
"otu292292","Balaenoptera musculus"
"otu292293","Balaenoptera borealis"
"otu292294","Sotalia fluviatilis"
"otu292295","Platanista minor"
"otu292296","Grampus griseus"
"otu292297","Cephalorhynchus eutropia"
"otu292298","Orcinus orca"
"otu292299","Mesoplodon hectori"
"otu292300","Cephalorhynchus hectori"
"otu292301","Eubalaena australis"
"otu292302","Stenella coeruleoalba"
"otu292303","Stenella attenuata"
"otu292304","Hyperoodon planifrons"
"otu292305","Balaenoptera bonaerensis"
"otu292306","Delphinus capensis"
"otu292307","Kogia simus"
"otu292308","Lagenorhynchus acutus"
"otu292309","Physeter catodon"
"otu292310","Lagenorhynchus obscurus"
"otu292311","Lagenorhynchus cruciger"
"otu292312","Lagenorhynchus obliquidens"
"otu292313","Lagenorhynchus australis"
